         170055 function calls (163997 primitive calls) in 0.738 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.199    0.100    0.199    0.100 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.074    0.037    0.074    0.037 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     1078    0.054    0.000    0.054    0.000 {built-in method posix.stat}
        2    0.035    0.017    0.035    0.017 {method 'connect' of '_socket.socket' objects}
      212    0.025    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:914(get_data)
  579/114    0.021    0.000    0.074    0.001 sre_parse.py:469(_parse)
      212    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
        2    0.012    0.006    0.012    0.006 {built-in method _socket.getaddrinfo}
        2    0.012    0.006    0.012    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 1001/105    0.011    0.000    0.037    0.000 sre_compile.py:71(_compile)
     7355    0.010    0.000    0.015    0.000 sre_parse.py:254(get)
     6773    0.009    0.000    0.014    0.000 sre_parse.py:164(__getitem__)
13188/11969    0.009    0.000    0.011    0.000 {built-in method builtins.len}
    14045    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
    12442    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
        9    0.008    0.001    0.008    0.001 {built-in method _imp.create_dynamic}
      526    0.008    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     9453    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
  650/649    0.007    0.000    0.372    0.001 {built-in method builtins.__build_class__}
      212    0.007    0.000    0.007    0.000 {method 'read' of '_io.FileIO' objects}
     2834    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     2834    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      453    0.005    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
     4019    0.004    0.000    0.005    0.000 sre_parse.py:249(match)
 1112/219    0.004    0.000    0.006    0.000 sre_parse.py:174(getwidth)
     6108    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
      9/7    0.004    0.000    0.022    0.003 {built-in method _imp.exec_dynamic}
       29    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     2571    0.003    0.000    0.005    0.000 sre_parse.py:160(__len__)
  430/105    0.003    0.000    0.075    0.001 sre_parse.py:411(_parse_sub)
      212    0.003    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:793(get_code)
3479/3411    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
  254/233    0.003    0.000    0.110    0.000 <frozen importlib._bootstrap>:882(_find_spec)
2761/2377    0.003    0.000    0.029    0.000 {built-in method builtins.hasattr}
      424    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     3596    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      238    0.002    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2943    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1657    0.002    0.000    0.003    0.000 sre_parse.py:286(tell)
      237    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       15    0.002    0.000    0.007    0.000 enum.py:135(__new__)
    237/1    0.002    0.000    0.739    0.739 {built-in method builtins.exec}
    260/1    0.002    0.000    0.739    0.739 <frozen importlib._bootstrap>:978(_find_and_load)
     1468    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
     1848    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
    242/1    0.002    0.000    0.738    0.738 <frozen importlib._bootstrap>:663(_load_unlocked)
     1072    0.002    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     2323    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2236    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      453    0.002    0.000    0.003    0.000 sre_compile.py:249(_compile_charset)
       29    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      302    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2490    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
    260/1    0.001    0.000    0.738    0.738 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       10    0.001    0.000    0.007    0.001 enum.py:654(<listcomp>)
       22    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
     1681    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       15    0.001    0.000    0.002    0.000 enum.py:177(<setcomp>)
      314    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0xa4a100}
      239    0.001    0.000    0.003    0.000 enum.py:70(__setitem__)
      110    0.001    0.000    0.126    0.001 re.py:271(_compile)
       16    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1114    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
  610/454    0.001    0.000    0.127    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      105    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      540    0.001    0.000    0.004    0.000 sre_compile.py:423(_simple)
     1207    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      212    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      762    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      424    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      762    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
     1374    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      237    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      636    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      237    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1454    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
     1323    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      105    0.001    0.000    0.123    0.001 sre_compile.py:759(compile)
      221    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1323    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      302    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      274    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      302    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
        2    0.001    0.000    0.003    0.001 six.py:21(<module>)
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
    212/1    0.001    0.000    0.737    0.737 <frozen importlib._bootstrap_external>:722(exec_module)
      212    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      334    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      503    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      198    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.001    0.001    0.007    0.007 packages.py:1(<module>)
      221    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      359    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      260    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      221    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      936    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      259    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      599    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      362    0.001    0.000    0.001    0.000 socket.py:76(<lambda>)
      365    0.001    0.000    0.001    0.000 socket.py:91(<lambda>)
      363    0.001    0.000    0.001    0.000 socket.py:81(<lambda>)
      433    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:403(cached)
      364    0.001    0.000    0.001    0.000 socket.py:86(<lambda>)
      198    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      598    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      297    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      105    0.001    0.000    0.077    0.001 sre_parse.py:913(parse)
      354    0.001    0.000    0.002    0.000 typing.py:704(__setattr__)
      334    0.001    0.000    0.009    0.000 enum.py:284(__call__)
      354    0.001    0.000    0.001    0.000 typing.py:590(_is_dunder)
      228    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
      212    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      440    0.001    0.000    0.001    0.000 sre_parse.py:81(groups)
    28/11    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      197    0.001    0.000    0.001    0.000 enum.py:18(_is_descriptor)
      105    0.001    0.000    0.001    0.000 enum.py:836(__and__)
      636    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      650    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      305    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
    300/1    0.000    0.000    0.738    0.738 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      390    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      171    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
      233    0.000    0.000    0.003    0.000 _collections_abc.py:742(__iter__)
       49    0.000    0.000    0.002    0.000 typing.py:603(__init__)
      212    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      238    0.000    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        2    0.000    0.000    0.001    0.000 connectionpool.py:455(close)
      260    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      605    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      527    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      359    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      174    0.000    0.000    0.001    0.000 os.py:674(__getitem__)
      320    0.000    0.000    0.001    0.000 os.py:756(decode)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.001    0.001 davclient.py:36(__init__)
      105    0.000    0.000    0.044    0.000 sre_compile.py:598(_code)
      324    0.000    0.000    0.001    0.000 enum.py:526(__new__)
      114    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      526    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      444    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      239    0.000    0.000    0.001    0.000 enum.py:34(_is_sunder)
      239    0.000    0.000    0.001    0.000 enum.py:26(_is_dunder)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      527    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
